document	label
잊혀진 공간 잊혀진 얼굴 잊혀진 우리	1
문!도!!!! 가는데로 간다아!!!!!	1
나르시스즘의영화자신의육체을사랑하는견같은년이OO떤다	0
이영화는 와 정말잘만들었다 감독 배우 모두최고 리얼도 이런리얼이없음 감동까지 전쟁은없어져야합니다	1
여러번 봐도 재밌는 영화..	1
전문가평점은 믿을게못됌....	0
옛날 영화라고 무시하며 시간 때우기용으로 봤다가... 속된 말로 그냥 지려버렸다... 보면서 메트릭스, 인셉션, 메멘토같은 작품들이 떠올랐다.. 수많은 작품에 영감을 줬을 듯	1
피튀기는것보다 이런게 진정한 공포인듯!!	1
맷데이먼연기력만 본 영화..정말 지루하고.......이번주 본 영화 7편중 제일 졸작	0
멜로연기는 최지우가 제일잘하는듯	1
취직이 어렵다는걸 보여주는건지 초반에 취직할려는 장면이 더럽게 나온다 증말	0
시나리오 잘 썼다고 생각했겠지	0
제탕에 삼탕에 사골까지 우려먹어라 연기도 드럽게못하고.. 아이한테차라지 옷을입히지 팬티하나 달랑입혀놓고 ..아동학대냐??에에잇~~ 시간이아깝다	0
역시 메릴 스트립(Meryl Steep)!!	1
보지마세요ㅠㅠ아 남주 진짜 싫다평점 주기 아깝다	0
살면서 평점이2점대인거첨이다	0
이건 클래식을 위한 드라마도, 청춘들의 성장 드라마도 아닌 주제를 알 수 없는 드라마가 되어 버렸다. 클래식계의 현실을 고발하기 위한 드라마인가? 심각한 드라마다. 부채도사는 어디로..ㅠㅠ	0
콰이어트맨	0
스토리의 개연성 얼마까지 알아보고 오셨어요?	0
아...뭐지 방금 티비에서 봤는데 전혀 드는 감정이 없어	0
에니메이션 상영중지해라	0
재밌고 감동적이고 ㅋㅋ좋은영화임 ㅋㅋㅋ아 몰카 환자연기하신분 진심 명배우인듯 ㅋㅋ;ㄷㄷㄷ	1
모니카 때문에 봤지만, 흥미롭게 볼 영화는 아님..	0
저예산단편영화2저예산단편영화2	0
가볍게 보기 좋음. 근데 영화의 질적 수준이 좀 부족함. 특히 연출	0
강문어짱ㅋㅋ간만에 너무웃었네요~~	1
여배우의 미모가 평점을 깎아먹다니...	0
동구도좋고동구짝도좋고암걸릴려고하던아빠는답답하고아빠친구는의외로의리쩔고	1
추리도 있고 재미도 있고 진짜 가족 영화로 딱인 듯!!	1
정말 최고. 가끔씩 유투브에서 셀블록 탱고를 찾아 듣는다.	1
액션무비의 갑!!쩝니다. 쩔어~	1
더 폴만큼이나 그당시엔 신선하고 컬트적이었다! 이또한 어른을 위한 한편의 동화!	1
6점대 나올만한 영화는 아닌 거 같은데..	1
습작 그 이상도 그이하도 아니다.	0
조금 촌스러운듯한 영상이지만, 내용은 정말 괜찮네요. 가격도 높지 않았고, 진짜 각계층에서 위에 계신분들은 저런 영화를 보고 반성하고, 되돌아보셔야 합니다. 얼마나 이 나라가 개판 오분전인지, 저 영화보면 알 수 있어요.	1
아무리 봐도 이 할매 비호감인데..	0
영상미에 열번 감탄하고, 백번의 졸음을 참아내기	0
"""전체관람가가 아니라 """"미취학아동전용""""이네요"""	0
이영화평점은 내가 망친다	0
지금봐도 , 촌스럽지 않은 진행과 연출	1
그 흔한 베드신도 안나옵니다 .. 키스신도 걍 뽀뽀질임 ㅋㅋ 참고만하삼 ㅋㅋ	0
재미없다 지루하고 묘한 분위기 말고는 아무것도 없다	0
이 영화 댓글이나 블로그 후기 알바 많이 썻나보네...	0
역시 다시봐도 신선하고 재미있네요. 보통의 예상과는 다른 약간은 색다른 결말도 갠찮고~	1
빔덴더스 샘쉐퍼드 제시카랭...최고들이 엮어내는 인생의 애잔함과 아름다움	1
방금전에 김창환 아저씨의 아침창에 ost가 나오는데,,참 좋은 영화였던 것 같다.	1
감독아,안녕하시냐?	0
109분 짜리 윈다졸 광고 잘봤습니다. 사먹지는 않겠습니다.	0
요섭오빠 화이팅 사랑해요 비스트 오빠들!!!♥♥	1
견자단 액션은 확실히 지렸는데..	1
이런 영화를 왜 만들었는지	0
남자라면 꼭 봐야됨...	1
일본영화는 정말 내 취향이 아니군 ...	0
ㅁ	1
두뇌와 가슴이 없이 눈으로만 보는 무지한 사람들에게는 지루하고 돈만 날릴영화겠지. 그런부류는 그냥 치고받고하는 헐리욷 쓰레기 영화나 보길. 왜 이런영화를 돈들이고 시간 낭비하며 보러갔는지 이해가 안감. 명화를 보며 만화만도 남도 못한 쓰레기라 할게지	1
명작이라 그러는데 딱히...	0
정말 잘만든 영화	1
이영화도 정말재밌었는데ㅎㅎ 이제와서 다시보면 실망할까 못ㅅ보겠다..	1
10년이 지난 후에도 여전히 재미난 탄탄한 스토리의영화	1
이영화 미국에선 3천만불밖엔 못벌엇지만 전세계적으로 1억불넘게벌음 imdb가보셈	1
별별1도 정말 재미있게 봤는데 별별2도 역시 의미있는 애니메이션!	1
나도 그다지..	0
재밌을것 같아요 기대하겠습니다^^	1
진심감동명작ㅠㅠ	1
포스터보면 좀비들이 참 해맑은데.. 영화는 넘 우울해..	0
잔잔하고 볼만함니다	1
시건방진 철책따위 걷어치우고 마음껏 붕가하게 만들란 말야.	0
일본애들은 TV드라마로 만들어도 안 볼 이런 영화를 뭐하려 필름 낭비하며 만드는 걸까.. 신기한 것들이네 진짜..	0
미래에서 기다릴께ㅠㅠ하 개멋있다....	1
린치를 능가하는 난해함, 그리고 해석의 자유, 다시금 보고싶은 영화	1
더 축소하든지 파고들었다면 좋았을것이다.범위가 어설프게 넓은.불쌍한 평민들	1
말이 필요없다.. 시간여행 덕후로서 무엇보다 엔딩이 마음에 듦! ㅠㅠ 다 보고 나서도 타이틀곡만 일주일째 무한반복 감상중 ㅠㅠ	1
에휴,,내가 유희왕을 나올적부터봤지만 이번 영화는 OOOO	0
저 한국영화를 너무 사랑해서 웬만하면 재밌게 보는데 상당히 철학적이고 독특하고 뜻이있는영화란건 알겠다 하지만 너무 심하게 재미없고 지루하다 후반에는 너무 지루해서 스킵해가면서 봤다 난 정말 김기독감독님영화도 재밌게봄	0
내용전개가 뻔하고 지루했어요끝에 반전이 있어 마무리는 나름 괜찮았지만졸려서 혼났네요	0
황금시대를 보고 나서 부랴 부랴 찾아본 허감독의 작품. 고요하다. 적적하다. 쓸쓸하다. 영화는 기승전결 없이 어찌보면 뻔한 결말로 향해간다. 근데 그 흐르는 과정에 있어서 묻어나오는 따뜻함과 인간미는 묘한 쾌감을 불러일으키기에 충분하다.	1
액션 진짜 좋아요 ㅋㅋ 네오 한대도 안맞을 정도로 쎔 ㄷㄷ	1
이상적인 영화의 모든 요소를 갖춘 스토리 속에 불완전한 주인공들의 과거와 미래를 내제한 삶 속 작은것들이 모여 공감 되고 안정되다가 내동댕이 치고 다시 부스럼 속에 그들 방식데로 사랑을 하는 모습이 손가락 사이로 지나가던 바람처럼 오래 맴돌것 같네요.	1
사랑의기적ㅠㅠㅠ진짜 눈물 흘리며 봤네요 마지막씬에서 정말 감동 받았습니다 한평생 살면서 저런 사랑을 한번이라도 하고 죽을까 싶습니다. 로맨틱 영화중에 제일 로맨틱 했어요	1
초등학교 저학년때 가족들이랑 영화관에서 본 기억이잇엇는데 성인이 돼서 다시 보니 어릴때의 추억도 떠오르고 영화 자체가 너무 좋아서 시간가는줄 모르고 봣다..	1
습한공포.시리즈의시작. 대작이다..	1
TV 로봤는데 재밌는영화...	1
ㅇ 좋음	1
고평가되려고 한다. 그정도는 절대 아니다.	0
마지막화 빼고 볼만하다가 아니라 재밌다 그냥 ㅇㅇ	1
이정도면.....	1
배우들의 연기력과 촬영기법이 정말 잘 만들어진 영화입니다..예전의 르와르 영화의 주인공 유덕화의 소림사로 나오는 모습이 또힌 매력이 있네요.연기력도 좋고 감동도 있고 안보신분은 꼭 보세요	1
처음보는건데 재밌네요 ㅎㅎ 보는동안 눈도 안떼고 쭉~ 봤어요 ㅎㅎ	1
할아버지와 꼬마 아가씨의 예쁜 우정과 아름다운 풍광까지, 정말 좋아요.	1
원작 이상으로 좋았다. 나도 제발 바보가 아니길.	1
크게 느끼어 마음이 움직임.	1
하정우 좋아해서 봤는데... 도로 차지하고 경찰력빌리고 뭐하자는건지; 100퍼 리얼도 아니고 연출과 설정,대사의 짬뽕이라해서 실망;; 국토대장정하는데 술은 왜처먹는겨; 하정우땜에 그나마 별2개	0
이 세상에서 제일 위대한힘은 바로 사랑이다	1
그 시대의 젊은이들은 꼭 그렇게 방황해야만 하는가?	1
카메라, 색감 다좋은데~ 내용은 OOO~~	0
새로와서 좋았음. 시즌2에서 그 매력 잃지 않았으면!	1
쓰레기 3류 공포 영화임 ㅋㅋㅋㅋ 보다보다 이런 재미없는 공포는 정말...	0
그냥 미친영화란 말밖에 안나옴	1
화려한 외모의 하명중 , 연기도 잘하네	1
여자들의 청포도 사탕	1
예술영화 이런것도 잘보는 편인데 이 영화는 도저히 못봐주겠다. 갠적으로 최악 영화 탑5안에든다	0
무섭지만 조디포스터 얼굴이 너무 이뻐서 넋이 나감!	1
역시마블이다기대이상	1
래픽은 딸리지만 최근에 만들었다면 명작이 됫을듯 good	1
!!!!	1
이런 영환 이제 안나왔으면..	0
원작 느낌도 살리고 뭉클하고 여러가지복합적인 생각이 드네요너무 잘봤습니다	1
상어를 어떻게 대하든, 그들의 가슴속엔 상어가 헤엄친다	1
쵝오입니다.. 남자의 로망	1
알바들아 이딴짓하지마라	0
엄마와 흥신소는 영웅. 딸은 피해자. 나머지는 다 바보로 나옴. 특히 경찰을 쓰레기로 만든 영화. 사건 의뢰받고 앞뒤 안가리고 알하는 흥신소랑 자기가 맡은 사건만 몇십건에 일일이 절차 지켜야하는 경찰을 비교하다니... 법과 제도를 바꿔야지...	0
손예진최고	1
답답해서 암유발시키는 영화	0
이런 영화에 1점주는 사람들은 도대체 뭡니까	0
스토킹을 잘하는 짓이라고 응원하는 쓰레기. 게다가 영화적으로도 최악.	0
박보영때문에 봤는데... 이거참ㅋㅋㅋ 엔딩에 어의없어 죽는줄	0
너무 허접스럽고 어설프고 지루하다. 박평식 마저 6점이나 주다니 도저히 이해 불가.	0
하...정말 이건....	1
와완전 감동 영화	1
과유불급. 뭔가 할말은 많은거같은데 정리가 안된듯. 음악은 좋다.	0
영상,음악 모두 좋았다는 아버지가 되어가는 빌의 모습이 정말 훈훈하네용	1
지루하지 않고, 킬링타임용으로 딱인듯	1
몰입감있게 잘 만들었네 정말 재밋게 잘봤음	1
이런류 영화 별로 안좋아하는데 정말 지립니다 .지려... 왜 이제야 알았는지... 하...	1
실화보다 감동적인 것은 없지 않을까 합니다. 최고의 열정이 있는 영화!	1
재밌음 재밌음 101010	1
정말 이건 최고다. 말이필요없다	1
1. 상어가 너무 착하게생겼다 귀요미. 2. 배우들의 연기가 서프라이즈배우급이다. 3.상어 나오는 영화가 이렇게 지루할 수 있다는데 박수를보낸다. 4.영화관에서 안보길잘했다.	0
정말 못봐주겠다...도대체 왜 이런영화를 만드는거냐	0
그냥 공감이 가네요..	1
어 정말 이 상한 영화네?	0
감성적인 영화였다.	1
부자들 얘기 드라마 아니면 어디서 접하겠어요? 루루공주 홧팅!!	1
꿈 하고싶은것 해야하는것	1
진짜 재밌고 노드 멋있어서 설렜음	1
쾌락인가? 사랑인가? 돈인가? 재벌과 미혼녀의 은밀한 폭로	0
미이라시리즈랑은상관없는듯 노잼	0
오우	1
보지말아요ㅜ보지말아요 ㅜ킬링타임용으로라도 보지말아요 ㅜ	0
감동받았다 굿~~~~	1
그냥 보기 싫다 그냥 쓰레기 영화인것 같아	0
에로비디오...	0
후회안해요. 진짜 주원앓이하게 되는 드라마고 꼭 봐야함	1
7점대로 내려간게 너무 안타까워서 10점으로 올려두기로. 실제 내가 주고픈 평점은 8.5 정도지만	1
결말이 뻔다하. 하지만 그 결말을 알면서도 긴장감은 줄어들지않았다.	1
유진때문에 끝까지 봤다. 정말 지겨웠다.	0
깜놀의 연속 나도 미칠것같은 영화	1
솔직히 수준떨어지는 영화이긴했음	0
잼나게보다 평점이 없어지네	0
제대로된 로맨틱 코메디물이네. 대박	1
토요일5시 쯤에하지 왜바꼇노 재밋엇는데 아침에하네	1
이런 영화는 지루할 것 같지? 아니야~ 진짜 아니야~	1
특이한 편집..,,.	0
영화는 현실을 강조하지만, 그 현실도 그냥 환상일뿐인듯. 뜬구름속의 인물들만 쭉 나열한다고 좋은 영화가 되는 건 아니다. 진짜 현실을 모르는 우디앨런 같은 이를 어떻게 좋아할 수 있을까? 그냥 제 멋에 사시길....	0
이게 뭐야 이게..	0
마음을 비우고 화질 좋은 걸로 보면 나름 만족한다. 나는 좋았다	1
어이없는 스토리;; 처음부터 끝까지 차만타네;	0
누군가에게는 인생영화가 된다.	1
지루해 죽는 줄 알았네요. 아~ 시간 아까워...	0
신의에 빠져서 못 헤어나오는 1인.	1
쒸 = _= 죨라지루해 ;;	0
진짜 뻔한스토리와 뻔한반전이었가지고 재미도 없다 액션신도 별로임 맨오브스틸이 더 재밌다	0
나만 흥미있게 봤던 작품	1
정말 괜찮았다.억지스럽지않고 깊이있는 작품이다.	1
개잼 정말 웃으면서 재밌고흐뭇하게봤다	1
10대 후반 작가의 첫 데뷔작인가 했음	0
최고 몇번째 다시 보는지 모르겠어요 히히	1
엄청 재미없음 걍 첨에 신기하다 나중에 졸림....	0
다니엘 데이 루이스의 연기에 경의를 표한다. 완전 전율.	1
메리다 발음이 엄청 거슬리고 연기가 똥망임..	0
책으로 읽고 영화를 보게 만드는...	1
이 영화를 제작한 빨갱이는 즉각 법적으로 처벌받아야 한다고 생각합니다.	0
Good~! 라는 말밖엔...	1
히스레저밖에 없네요~ 7점대가 딱 맞는 영화예요~	0
시각적으로 보여주는 거 외에 내용에 진실성이 담긴 영화	1
남들보다 늦게보게된 드라마였지만 보는내내 너무 행복했어요..느낀것도 있고..	1
탁재훈나오믄재밌는데와이라지스토리중반부터너무쳐짐약해약해약해~지겨워뒈지는줄알	0
개인적으로 잼썼다! 2002년껄 지금보다니;; 토모야 멋있어~~ㅋ	1
재밌었던 기억이... 천녀유혼 스토리 너무 좋음	1
잼있구만~ 여배우 이쁘구~ 평점보고 안봤으면 후회했겠다.. 네이버평점은 믿을게안데	1
조금 지루했지만 잘만든 작품 킨스키의 미모가 아직도 기억난다.	1
재밋네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
여운이남는영화란이런것이다.지워지지않는 그들의 사랑,	1
복잡해	0
할머니 = 나랑같이 농구해 보지 않겠나? 세계를 노리자꾸나	0
현실적인 소재와 대기업과 맞서는 현실에선 불가능한 일들을 주인공이 해냄으로서 느끼는 일반대중들에게 카타르시스마져 느끼게 하는것은 좋았지만 다소 주인공의 어리석을정도로 현실성을 한번도 고려하지 않는 우직함은 몰입을 방해했다. 8점 대가 무난한듯 싶다.	0
멍청한 남자 떄문에 생긴 멍청한 이야기 하지만 영환 완벽해	1
주연들의연기력 정말좋구요ㅠㅠ 진짜 눈물한바가지ㅜㅠ연공이랑 비슷하니 뻔한스토리지만 그뻔한매력!	1
최춘희 최고ㅣ짱이에요	1
이거 만들 돈으로.. ㅉㅉㅉ	0
평가가 좀 오래 됬긴 했지만 자꾸 슈타인즈 게이트를 보는것 같은 느낌을 지울 수 가 없었다	1
주인공 인상이 너무좋다..	1
재미없어요 너무 썰렁한 구닥다리...	0
마지막 떠나는 쟝을 바라보며 감독자신이 하는말...넘 감동적이네요~	1
아무리 대뷔작이라고 해도 1996년작이라고 하기엔 매우 촌스럽다..	0
뭔가 부족하지만 그 부족함을 다 채우고도 남는 뭔가가 있다.	1
옛다 별두개~ 한국에서 찍어 하나 더 준거다	0
이건 진짜 진부한 소재와 유기적이지 못한 전개가 결합된 실력없는 작가가 만드는 영화가 어떤건지 보여주는 재미없는 영화임 그냥 환희가 출연하는 재미없는 영화라고 말하는게 맞을듯 진짜 여기나오는 여자배우들 연기는 말하고 싶지않음어색하고 에휴 말안할래	0
초등학교때 브라운관으로 보면서 짱재밌었음.. 살고 싶은 동네	1
내가 간절히 바라는 것이 신념이라면 그건 강요에 의해서 버려지는 게 아니지.	1
재미도 있었고, 대사들도 참 좋았던 드라마.	1
총알탄사나이의 재미를 느끼긴 힘들다.	0
멍멍이성격이 저같아서 재밌네요~	1
윤성호감독은 아무래도 약빨고 영화 만드는 것 같다..ㅋㅋㅋㅋㅋㅋㅋㅋ	1
꼴통 배우의 무작정 때려 부수고 아작내기.	0
구조는 좋은데 풀어나가는 방식이 조금 아쉬웠다.	1
상남자 영화 화끈하구먼	1
억지감동 억지연기 진짜3류다 그나마 우리 귀요미 효진의 발견ㅋㅋ	0
너무 재밌지///ㅋ	1
기대한것에 미치지 못한다. 1점	0
오늘 아침에 티비에서 하길래 밧는데 난 엄청 재밋게봣봤는데 재밋고감동적이고애귀엽고장근석잘생기고다들 왜그렇게 실어한댜	1
보이쉬한 그 여자가 송종국 마누라? 맞는거야?	0
볼만했음..마더에 나온 그 할머니 맞죠? ㅎㅎ	1
야한장면이생각나지않을정도로 사랑에대한표현느낌이영화를보고아름답다라고많이느꼈어요 여자배우가 아름답고슬프게보여서 .. 더찡한영화였네요 정말명작 이에요	1
이수만의 상품들이 벌이는 쇼	0
쿠 정말 순수해 나까지 순수해지는 느낌.첫 장면부터 눈물 펑펑 흘렸다...ㅠ왜 아빠를 죽였어 나쁜 인간	1
악동뮤지션 홧팅!	1
10년 전 건데 지금봐도 재밌네...우마서먼 이땐 정말 이뻣구나! 비너스역 뷰티풀~!	1
아진짜 먼이런쓰레기영화를....	0
무슨 서태지도 아니고,비를 극장에서 보는 바보는 되지않겠을..	0
이건 만화다.뻥이 심하닷.	0
스킵해가면서 보시면 꽤 재밌어요	0
이거 앞으로 범죄자들 고문할때 이거만 보게하면 딱일듯 이거만 하루종일보는게 고문이 그런 고문이없음	0
그냥 안무섭고,야한영화,,,	0
철저한 비디오영화!	0
중간에 모텔방 아줌마 짜증났음 ..ㅡㅡ;; 그거땜에 1점.. 극 흐름에 전혀 안어울림.	0
케이블xtm에서 봤는데 정말 재밌게 봤습니다	1
뭘 말하고 싶은건지 이도 저도 아닌	0
극장에서 느꼈던 여운이 지금도... 최고네요. 근데 원래대로 2부가 나왔다면 어땠을까.	1
평점 너무낮다 올려주기 위해 십점 알렉스 고백 장면은 다시봐도 진짜 좋음	1
잠안올때 보는영화..	0
아니 잠깐,여기서는 남자, 각성에서는 여자?	1
미국 합작이라지만 어디까지나 러시아 특유의 영화적 단점들인 어수선함, 지루함, 지리함, 산만함이 도처에 널부러져 있다. 어떻게 연출하고 편집해서 관객에게 효과적으로 전달하는지를 러시아는 여전히 깨닫지 못하고 있다. 포스터에 낚이진 말거라~	0
초반에는 살짝 지루하고, 무슨 이야기를 하려는 것인가 했었는데점점 생각지도 않게 숨이 턱 막히게 만드는 영화내가 꼽은 베스트 대사.박해일씨의 낭만의 화신과.. 마지막의 김혜수씨의 살고 싶다..이 영화로 인해 나는 가슴이 저밋저밋하다..	1
잘봤습니다 독립영화 처음으로중간에 안끄고 다봤어요	1
ㅎㅎㅎㅎ 역시 망했구나	0
어찌나 뻔한지, 몇몇 장면에서 일본어 대사를 예측한게 딱 맞아서 놀랄 정도. 일본은 닌자를 문화를 넘어 신화로 만들려는건가	0
내생애최악의영화	0
정말 재미있게 봤어요 ㅎㅎㅎ	1
그는 왜 영화내내 혼자 였을까?	1
진짜 감독이 정신병자네.어떻게 이런영화를 상을줄생각을하죠?너무 공포스럽고 사람 인격에 해를주네요.정말ㅠㅠ 어떻게한사람의 인간이 이런생각을해요ㅠㅠ ?살인이 장난인가요?ㅡㅡ 정서불안에 쓰레기 정신병자 영화네요 절대보지마세요. 마음다쳐요ㅠㅠ	0
간단한 이야기를 너무 돌고 돌아 가네	0
지금 고딩이 봐도 웃기다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	1
소재는 정말 좋았는데 이걸 이렇게 까지밖에 만들지 못했을까.	0
클레멘타인의 전설에 가까운 영화........	1
한석규가 나왔던 Mbc 드라마 서울의달이 더 낳았지.. 서울 대전 대구 부산 짝고 ~~	0
이건 진짜 대박	1
뻔한스토리같지만빵빵터진다~~!!	1
이거 너~무 재미 있어서 지금14화까지 다 봤어요!!	1
상당히 재미 없음	0
3도 반전 좋았제 ^^	1
언제 만들어졌나요? 평점이 일베충스러운	0
만들어진 년도를 감안해도 정말 살떨리는 유지판타지 주인공들의 연기력역시 바닥ㅋㅋ 어쩔 ㅋㅋ	0
이 드라마.. 뭔가 안타깝 시청률이... 난 재밋게봣는데말야	1
지금 생각해도 벅차고 소름돋아요	1
어느 나라든 그 나라 법에 맞춰살아가고 있는게 우리들 아닌가? 안타깝지만 북한이 종교를 인정안하면 거기에 맞춰서 살아야지, 괜히 긁어서 온가족 작살,,,;; 종교에 미1친자들의 최후쯤으로 볼란다. 북한의 문제도 문제지만 종교색이 너무 들어갔어 ㅡㅡ	0
목욕씬 인상적이다ㅜㅜ스크린으로 보니까ㅜ좋았다ㅜㅜㅜ	1
다시 보고 싶어서 15년만에 검색해보는... 하지만 어디서 구할 수 있을까...	1
감독이 프로이트를 좋아하는듯 프로이트가 처음 인간의 근본운 성욕이라고 했을때 우루루 달려와 욕을 했었지 왜냐하면 도저히 성욕이라는 추악함이 자신의 근본이라고 생각하고싶지 않았으니까한번쯤 이영화를 보면서 내거 왜 욕하고 있는지 생각해 볼 필요가 있다	0
돌아가라 너네별로..	0
이 다큐영화 진짜 추천해주고 싶다.그리고 이 영화를 보면서 오랜만에 카메라를 만지게 되는 영화이다.	1
9점짜리 영화는 아닌 것 같은데...8점 정도.	0
정말 시간이 아깝다	0
한국에선 무슨일을 하든 고달프다	1
ㅋ제작비는 벌었을려나..	0
재미나요 성룡 그립습니다	1
독재자 알라딘은 정치가 낳은 웃음이 정치를 무력화하는 현장으로 우리를 초대한다.	1
억지구성이 보이긴하지만... 전쟁을 생각하면 우리도 저런 상황을 겪게 될 수도 있지 않을가 생각해본다..	0
정말로 어이없는 형편없는영화입니다	0
타란티노의스타일은내스타일	1
날개의 재해석.. 3인칭 관점에서는 이상을 표현할 수 없다는 점만 깨우쳤다..	0
조선최고의 협객. 정말최고!	1
이런걸국내수입하는수입사는얼마나망해먹으려고-_-	0
마음 평안해지는 영화. 배경미가 돋보인다.	1
어린시절 정말 인상깊게 재밌게 봤던 영화! 야하다고 생각했음;	1
와..장난아니시네... 이게 정말로 자연산 이라니....남자배우가 나이차이도 좀 많이 나보이는거 같던데 조금 부럽네요..	1
20년이 넘은 영화라 믿기지 않는 대작인 대박영화~!!	1
이아이 때문에 참고 보려했지만 TV 전기세가 아까웠다!!	0
영화권이 생겨서 공짜로 보게된영화인데. 시간이 아까운영화. 드림하이,파파로티 처럼 꿈은이루어진다를 그리고싶었지만 이것저것 설정이 짬뽕되면서 영화내용이 참 서으로 가는듯했다. 한영화에 여러가지 사회면을 넣으려다 이것도 저것도 아닌듯.	0
웃다가 자지러질뻔.태극기 휘날리며는 이거 베꼈을꺼다	0
재밌다 추억에 잠긴다ㅎ	1
보고나서 한번씩은 웃었자나? 안그래?	1
정명석이 군침 돌게하는 영화인걸	0
톰 베린져..그리고 저격수들간의 긴장감..괜찮은 영화	1
영화관에서 애들과 숙면을 취하게 해준 영화.. 감사합니다	0
포르노 보는게 났지 ... 재미없음...	0
모히토 생각나는 영화!	1
우울한 인생들의 우울한 이야기..	0
작위적	0
원작보다는 많이 망친듯하나 원작은 밋밋함이있어서 갈등구조를 더 넣은 듯.. 책이나 드라마나 설레는건 어쩔 수 없다보다	1
어렸을때 나름재밌게 본 영화.	1
메마른 현실에 눈을 감은 사람의 엔딩	1
화면의 60%는 아무것도 안보이고 깜깜한 속에서 무슨 일이 일어나고 있는지....목소리만 나오고....다 보고나서도 전체적인 스토리가 명확하게 드러나지 않네요. 연출력이 너무 부족...	0
겉멋만 든 쓰레기영화라고 생각함. 내용이 개산만.. 그리고 서영희가 분한 케릭터가 대체 뭘 나타내주고싶었는지 알수가없다. 김기덕도 한물간듯..	0
박사 둘 포함 5명 죽이고, 파리병 남한테 옮기기 성공...GoGo 파리맨?;;	0
이건 쓰레기지,,, 인정하자	0
영화 볼만합니다 일본영화치고 괜찮은 시나리오네요 추천!	1
극장에서 못봐서 아쉽..	1
스릴러 영화계의 전설 폴버호벤은 천재가 분명하다	1
순수하고 아름다운 영화인 것 같다	1
상징적인 휘파람 소리는 아직까지 지워지지 않습니다.	1
보고나면 시력이 감퇴되고 눈이 점점 썩는 듯한 효과를 겪는다.	0
최고다!!!!!!완전잼있따!!!!!!! 청춘코미디!!	1
